Episode,AvgReward,P1_WinRate,P1_Annihil,P1_Attrit,P2_Annihil,P2_Attrit,DrawRate,AvgSteps,Timestamp
800,596.35,0.63,0.51,0.12,0.17,0.07,0.13,749.3,2025-12-03T15:22:19.487800
900,357.18,0.49,0.36,0.13,0.15,0.13,0.23,820.9,2025-12-03T15:25:35.111205
1000,527.87,0.60,0.44,0.16,0.18,0.13,0.09,784.7,2025-12-03T15:28:44.644429
1100,613.97,0.51,0.40,0.11,0.29,0.09,0.11,757.8,2025-12-03T15:34:50.732965
1200,558.89,0.59,0.48,0.11,0.20,0.11,0.10,783.1,2025-12-03T15:38:01.887482
1300,530.58,0.62,0.44,0.18,0.19,0.07,0.12,783.6,2025-12-03T15:41:22.479290
1400,387.89,0.68,0.37,0.31,0.16,0.09,0.07,792.7,2025-12-03T15:44:48.586207
1500,458.25,0.58,0.43,0.15,0.17,0.10,0.15,792.9,2025-12-03T15:48:01.243947
1600,292.26,0.55,0.34,0.21,0.14,0.14,0.17,827.8,2025-12-03T15:53:56.737927
1700,357.23,0.64,0.37,0.27,0.16,0.08,0.12,825.8,2025-12-03T15:57:16.107807
1800,352.60,0.67,0.44,0.23,0.10,0.14,0.09,831.7,2025-12-03T16:00:37.097875
1900,258.21,0.49,0.25,0.24,0.22,0.16,0.13,869.3,2025-12-03T16:04:08.393397
2000,407.08,0.60,0.37,0.23,0.22,0.10,0.08,822.8,2025-12-03T16:07:28.667323
2100,250.52,0.56,0.28,0.28,0.19,0.09,0.16,840.7,2025-12-03T16:13:23.337940
2200,277.15,0.55,0.33,0.22,0.17,0.14,0.14,847.0,2025-12-03T16:16:49.136649
2300,298.01,0.56,0.35,0.21,0.13,0.13,0.18,814.9,2025-12-03T16:20:09.836139
2400,266.38,0.65,0.37,0.28,0.10,0.17,0.08,848.6,2025-12-03T16:23:36.479082
2500,232.38,0.63,0.31,0.32,0.13,0.10,0.14,840.3,2025-12-03T16:26:58.396289
2600,300.02,0.53,0.30,0.23,0.19,0.19,0.09,831.7,2025-12-03T16:32:52.502076
2700,283.72,0.52,0.29,0.23,0.18,0.19,0.11,839.0,2025-12-03T16:36:19.614588
2800,216.77,0.58,0.23,0.35,0.21,0.08,0.13,861.0,2025-12-03T16:39:51.115117
2900,356.25,0.56,0.32,0.24,0.20,0.07,0.17,809.4,2025-12-03T16:43:12.404301
3000,374.64,0.54,0.31,0.23,0.23,0.18,0.05,819.1,2025-12-03T16:46:34.532201
3100,414.11,0.56,0.38,0.18,0.20,0.12,0.12,807.5,2025-12-03T16:52:13.832060
3200,260.85,0.48,0.29,0.19,0.17,0.20,0.15,857.6,2025-12-03T16:55:42.082335
3300,438.45,0.56,0.38,0.18,0.19,0.13,0.12,794.3,2025-12-03T16:58:58.628049
3400,429.39,0.57,0.34,0.23,0.24,0.07,0.12,809.2,2025-12-03T17:02:25.092608
3500,342.78,0.53,0.33,0.20,0.18,0.13,0.16,800.1,2025-12-03T17:05:52.444415
3600,360.06,0.56,0.31,0.25,0.20,0.17,0.07,800.7,2025-12-03T17:11:07.568797
3700,313.42,0.65,0.37,0.28,0.14,0.12,0.09,829.1,2025-12-03T17:14:33.628882
3800,216.04,0.58,0.24,0.34,0.19,0.15,0.08,848.3,2025-12-03T17:18:05.638745
3900,313.27,0.52,0.28,0.24,0.21,0.09,0.18,817.6,2025-12-03T17:21:27.486301
4000,325.41,0.60,0.32,0.28,0.17,0.11,0.12,819.0,2025-12-03T17:24:52.190509
4100,238.90,0.69,0.30,0.39,0.15,0.06,0.10,824.1,2025-12-03T17:30:44.900600
4200,254.72,0.61,0.29,0.32,0.18,0.13,0.08,827.4,2025-12-03T17:34:11.062767
4300,300.64,0.62,0.29,0.33,0.20,0.08,0.10,837.0,2025-12-03T17:37:37.848037
4400,220.29,0.64,0.28,0.36,0.16,0.08,0.12,848.6,2025-12-03T17:41:08.631175
4500,300.51,0.50,0.25,0.25,0.25,0.15,0.10,828.1,2025-12-03T17:44:29.347518
4600,240.22,0.56,0.27,0.29,0.17,0.12,0.15,832.3,2025-12-03T17:50:25.854578
4700,422.84,0.64,0.36,0.28,0.20,0.08,0.08,785.4,2025-12-03T17:53:40.037586
4800,431.35,0.75,0.44,0.31,0.10,0.10,0.05,769.3,2025-12-03T17:56:48.421924
4900,392.02,0.63,0.39,0.24,0.14,0.09,0.14,804.9,2025-12-03T18:00:02.907177
5000,397.53,0.60,0.33,0.27,0.23,0.09,0.08,796.6,2025-12-03T18:03:18.699158
5100,308.27,0.62,0.32,0.30,0.17,0.10,0.11,819.2,2025-12-03T18:09:13.590394
5200,418.55,0.58,0.37,0.21,0.20,0.11,0.11,803.3,2025-12-03T18:12:29.529752
5300,441.37,0.51,0.33,0.18,0.25,0.14,0.10,785.5,2025-12-03T18:15:41.586183
5400,384.35,0.77,0.45,0.32,0.10,0.08,0.05,802.2,2025-12-03T18:18:57.983104
5500,385.66,0.72,0.42,0.30,0.12,0.08,0.08,806.7,2025-12-03T18:22:16.646824
5600,381.22,0.72,0.42,0.30,0.11,0.09,0.08,795.3,2025-12-03T18:27:48.016591
5700,499.06,0.69,0.45,0.24,0.16,0.05,0.10,766.5,2025-12-03T18:30:56.665351
5800,340.81,0.74,0.44,0.30,0.07,0.07,0.12,789.4,2025-12-03T18:34:13.013574
5900,431.45,0.61,0.36,0.25,0.19,0.05,0.15,768.2,2025-12-03T18:37:24.373131
6000,536.27,0.77,0.51,0.26,0.13,0.04,0.06,762.5,2025-12-03T18:40:35.830276
6100,378.05,0.65,0.36,0.29,0.17,0.06,0.12,804.0,2025-12-03T18:46:28.012777
6200,458.24,0.65,0.43,0.22,0.15,0.06,0.14,798.2,2025-12-03T18:49:46.535320
6300,437.21,0.61,0.39,0.22,0.19,0.11,0.09,800.7,2025-12-03T18:53:08.828350
6400,474.59,0.70,0.51,0.19,0.10,0.11,0.09,780.1,2025-12-03T18:56:23.645925
6500,414.28,0.68,0.41,0.27,0.15,0.12,0.05,805.2,2025-12-03T18:59:44.493606
6600,349.70,0.76,0.43,0.33,0.08,0.10,0.06,805.1,2025-12-03T19:05:15.109379
6700,506.78,0.55,0.38,0.17,0.24,0.13,0.08,777.9,2025-12-03T19:08:28.127083
6800,337.85,0.62,0.35,0.27,0.16,0.11,0.11,803.5,2025-12-03T19:11:46.356271
6900,275.05,0.60,0.31,0.29,0.16,0.15,0.09,813.9,2025-12-03T19:15:05.989982
7000,446.31,0.51,0.33,0.18,0.27,0.15,0.07,811.6,2025-12-03T19:18:26.195621
7100,502.49,0.65,0.44,0.21,0.18,0.09,0.08,787.2,2025-12-03T19:24:12.057700
7200,415.65,0.56,0.42,0.14,0.14,0.18,0.12,790.2,2025-12-03T19:27:24.322924
7300,423.56,0.60,0.40,0.20,0.17,0.14,0.09,799.4,2025-12-03T19:30:40.778620
7400,344.14,0.56,0.37,0.19,0.13,0.17,0.14,815.0,2025-12-03T19:34:01.496899
7500,531.33,0.44,0.35,0.09,0.28,0.13,0.15,769.5,2025-12-03T19:37:12.882356
7600,525.99,0.55,0.35,0.20,0.28,0.09,0.08,769.6,2025-12-03T19:42:55.931416
7700,498.07,0.52,0.36,0.16,0.24,0.10,0.14,771.1,2025-12-03T19:46:05.194693
7800,588.02,0.60,0.45,0.15,0.20,0.10,0.10,724.1,2025-12-03T19:49:07.666270
7900,358.81,0.43,0.24,0.19,0.27,0.15,0.15,819.2,2025-12-03T19:52:32.976544
8000,374.95,0.59,0.32,0.27,0.20,0.12,0.09,786.5,2025-12-03T19:55:51.680183
8100,299.02,0.60,0.34,0.26,0.13,0.16,0.11,796.7,2025-12-03T20:01:44.932297
100,1130.52,0.70,0.69,0.01,0.24,0.01,0.05,515.7,2025-12-03T20:07:15.717364
200,1169.05,0.68,0.67,0.01,0.27,0.02,0.03,474.3,2025-12-03T20:09:05.717828
300,1203.70,0.73,0.73,0.00,0.24,0.00,0.03,466.4,2025-12-03T20:10:55.895402
400,1080.08,0.71,0.69,0.02,0.22,0.00,0.07,555.1,2025-12-03T20:13:02.120199
500,1130.83,0.65,0.65,0.00,0.28,0.02,0.05,529.4,2025-12-03T20:15:02.363565
600,861.39,0.58,0.43,0.15,0.21,0.10,0.11,461.8,2025-12-03T20:19:21.020275
700,931.45,0.51,0.43,0.08,0.26,0.10,0.13,452.2,2025-12-03T20:21:06.828983
800,897.56,0.57,0.41,0.16,0.26,0.09,0.08,463.7,2025-12-03T20:22:54.521855
900,957.08,0.59,0.49,0.10,0.22,0.05,0.14,448.2,2025-12-03T20:24:39.095680
1000,838.18,0.61,0.43,0.18,0.19,0.06,0.14,465.9,2025-12-03T20:26:29.394660
1100,934.20,0.56,0.49,0.07,0.21,0.06,0.17,444.9,2025-12-03T20:29:44.212596
1200,1088.38,0.64,0.58,0.06,0.24,0.07,0.05,417.8,2025-12-03T20:31:26.286049
1300,968.58,0.63,0.51,0.12,0.21,0.06,0.10,440.1,2025-12-03T20:33:10.670427
1400,838.61,0.56,0.46,0.10,0.17,0.09,0.18,471.0,2025-12-03T20:35:01.820771
1500,904.58,0.64,0.52,0.12,0.15,0.09,0.12,447.2,2025-12-03T20:36:47.623454
1600,922.44,0.59,0.49,0.10,0.21,0.08,0.12,462.1,2025-12-03T20:40:51.250654
1700,755.35,0.52,0.36,0.16,0.19,0.15,0.14,482.4,2025-12-03T20:42:41.929454
1800,922.25,0.64,0.49,0.15,0.20,0.07,0.09,455.8,2025-12-03T20:44:28.717758
1900,965.95,0.60,0.50,0.10,0.21,0.05,0.14,454.3,2025-12-03T20:46:16.383612
2000,897.60,0.55,0.40,0.15,0.27,0.09,0.09,449.5,2025-12-03T20:48:00.946748
2100,972.53,0.53,0.46,0.07,0.28,0.08,0.11,441.8,2025-12-03T20:51:19.216036
2200,834.74,0.52,0.41,0.11,0.20,0.15,0.13,473.5,2025-12-03T20:53:10.363583
2300,935.58,0.55,0.46,0.09,0.24,0.11,0.10,453.2,2025-12-03T20:54:57.235561
2400,935.83,0.60,0.46,0.14,0.24,0.09,0.07,447.3,2025-12-03T20:56:42.447049
2500,957.81,0.67,0.52,0.15,0.21,0.04,0.08,454.9,2025-12-03T20:58:30.045628
2600,1033.56,0.65,0.55,0.10,0.22,0.08,0.05,416.1,2025-12-03T21:01:52.365061
2700,868.23,0.65,0.47,0.18,0.17,0.08,0.10,450.1,2025-12-03T21:03:39.041862
2800,916.57,0.59,0.47,0.12,0.21,0.13,0.07,444.7,2025-12-03T21:05:24.843416
2900,905.08,0.60,0.46,0.14,0.22,0.07,0.11,468.8,2025-12-03T21:07:15.995488
3000,935.92,0.65,0.51,0.14,0.19,0.07,0.09,452.9,2025-12-03T21:09:03.171710
3100,888.61,0.54,0.41,0.13,0.26,0.13,0.07,456.7,2025-12-03T21:11:58.346669
3200,915.99,0.56,0.43,0.13,0.27,0.03,0.14,468.4,2025-12-03T21:13:49.424253
3300,796.84,0.55,0.41,0.14,0.18,0.07,0.20,481.9,2025-12-03T21:15:42.699315
3400,843.12,0.70,0.46,0.24,0.17,0.06,0.07,457.6,2025-12-03T21:17:31.971706
3500,870.88,0.60,0.40,0.20,0.25,0.10,0.05,475.8,2025-12-03T21:19:24.458413
3600,851.17,0.59,0.44,0.15,0.20,0.11,0.10,445.1,2025-12-03T21:22:19.484039
3700,825.36,0.58,0.42,0.16,0.21,0.10,0.11,484.9,2025-12-03T21:24:12.963075
3800,900.61,0.51,0.41,0.10,0.27,0.12,0.10,461.4,2025-12-03T21:26:02.104307
3900,877.50,0.53,0.41,0.12,0.24,0.10,0.13,459.4,2025-12-03T21:27:51.042341
4000,770.73,0.61,0.36,0.25,0.22,0.06,0.11,478.1,2025-12-03T21:29:45.750353
4100,830.91,0.65,0.46,0.19,0.17,0.06,0.12,472.3,2025-12-03T21:33:18.511870
4200,914.78,0.67,0.54,0.13,0.15,0.07,0.11,433.0,2025-12-03T21:35:01.688716
4300,865.04,0.61,0.43,0.18,0.22,0.09,0.08,441.3,2025-12-03T21:36:47.594322
4400,850.01,0.58,0.45,0.13,0.18,0.10,0.14,465.0,2025-12-03T21:38:38.396199
4500,849.97,0.60,0.44,0.16,0.20,0.08,0.12,456.1,2025-12-03T21:40:26.922521
4600,891.29,0.58,0.48,0.10,0.20,0.07,0.15,472.2,2025-12-03T21:43:33.748078
4700,919.55,0.63,0.52,0.11,0.18,0.10,0.09,446.3,2025-12-03T21:45:19.729074
4800,869.25,0.62,0.45,0.17,0.21,0.05,0.12,455.7,2025-12-03T21:47:07.761426
4900,831.22,0.60,0.42,0.18,0.22,0.10,0.08,480.3,2025-12-03T21:48:59.976818
5000,757.10,0.55,0.42,0.13,0.14,0.13,0.18,484.1,2025-12-03T21:50:53.794533
5100,718.20,0.51,0.35,0.16,0.19,0.14,0.16,476.4,2025-12-03T21:54:27.817950
5200,888.26,0.58,0.45,0.13,0.22,0.08,0.12,465.6,2025-12-03T21:56:18.012503
5300,786.79,0.51,0.37,0.14,0.22,0.12,0.15,483.4,2025-12-03T21:58:11.981159
5400,923.04,0.60,0.50,0.10,0.20,0.10,0.10,462.7,2025-12-03T22:00:03.252853
5500,974.92,0.59,0.53,0.06,0.22,0.10,0.09,456.5,2025-12-03T22:01:52.123142
5600,751.69,0.59,0.33,0.26,0.24,0.07,0.10,482.2,2025-12-03T22:05:03.912578
5700,837.82,0.54,0.44,0.10,0.20,0.09,0.17,474.8,2025-12-03T22:06:55.406869
5800,883.10,0.53,0.39,0.14,0.28,0.09,0.10,467.9,2025-12-03T22:08:46.551235
5900,855.96,0.60,0.46,0.14,0.18,0.10,0.12,469.1,2025-12-03T22:10:37.587017
6000,793.57,0.56,0.41,0.15,0.20,0.14,0.10,466.1,2025-12-03T22:12:28.776922
6100,850.82,0.74,0.53,0.21,0.11,0.07,0.08,470.7,2025-12-03T22:16:03.354074
6200,858.75,0.54,0.42,0.12,0.24,0.09,0.13,454.0,2025-12-03T22:17:51.314485
6300,860.42,0.59,0.42,0.17,0.23,0.07,0.11,451.7,2025-12-03T22:19:40.016057
6400,846.32,0.64,0.50,0.14,0.15,0.09,0.12,467.7,2025-12-03T22:21:31.335891
6500,919.38,0.74,0.56,0.18,0.15,0.03,0.08,441.5,2025-12-03T22:23:18.313920
6600,848.26,0.63,0.47,0.16,0.17,0.10,0.10,454.1,2025-12-03T22:26:43.829731
6700,797.63,0.62,0.40,0.22,0.21,0.06,0.11,456.9,2025-12-03T22:28:32.640528
6800,849.13,0.57,0.44,0.13,0.19,0.09,0.15,446.8,2025-12-03T22:30:20.637862
6900,822.28,0.66,0.48,0.18,0.15,0.11,0.08,474.3,2025-12-03T22:32:13.539514
7000,774.89,0.64,0.45,0.19,0.14,0.05,0.17,475.1,2025-12-03T22:34:05.726937
7100,799.40,0.57,0.38,0.19,0.23,0.11,0.09,470.3,2025-12-03T22:36:56.442505
7200,684.76,0.62,0.35,0.27,0.16,0.08,0.14,479.3,2025-12-03T22:38:50.333927
7300,718.58,0.62,0.39,0.23,0.16,0.14,0.08,485.7,2025-12-03T22:40:46.882096
7400,783.97,0.55,0.38,0.17,0.23,0.08,0.14,480.2,2025-12-03T22:42:39.704442
7500,755.83,0.58,0.34,0.24,0.24,0.11,0.07,490.3,2025-12-03T22:44:36.257710
7600,830.19,0.57,0.41,0.16,0.22,0.12,0.09,463.3,2025-12-03T22:48:08.110055
7700,873.30,0.61,0.49,0.12,0.19,0.07,0.13,457.3,2025-12-03T22:49:57.195422
7800,779.97,0.64,0.40,0.24,0.19,0.09,0.08,466.0,2025-12-03T22:51:49.290258
7900,840.83,0.62,0.47,0.15,0.18,0.07,0.13,474.1,2025-12-03T22:53:42.518919
8000,829.32,0.62,0.48,0.14,0.14,0.07,0.17,463.5,2025-12-03T22:55:34.271724
8100,857.28,0.67,0.52,0.15,0.14,0.09,0.10,453.9,2025-12-03T22:58:35.195454
8200,782.17,0.67,0.49,0.18,0.11,0.08,0.14,473.1,2025-12-03T23:00:28.537214
8300,874.18,0.65,0.51,0.14,0.16,0.11,0.08,447.1,2025-12-03T23:02:15.634005
8400,739.72,0.61,0.42,0.19,0.15,0.09,0.15,467.7,2025-12-03T23:04:07.411143
8500,805.91,0.67,0.46,0.21,0.16,0.08,0.09,468.7,2025-12-03T23:05:58.835505
8600,893.74,0.68,0.49,0.19,0.20,0.06,0.06,459.6,2025-12-03T23:09:14.753356
8700,902.57,0.61,0.49,0.12,0.20,0.08,0.11,447.2,2025-12-03T23:11:01.626110
8800,756.97,0.60,0.44,0.16,0.15,0.10,0.15,473.3,2025-12-03T23:12:54.334019
8900,815.86,0.60,0.41,0.19,0.20,0.11,0.09,461.8,2025-12-03T23:14:44.492551
9000,879.50,0.63,0.46,0.17,0.22,0.08,0.07,475.8,2025-12-03T23:16:37.208364
9100,849.72,0.62,0.51,0.11,0.15,0.11,0.12,448.2,2025-12-03T23:20:05.179134
9200,932.79,0.68,0.56,0.12,0.16,0.10,0.06,440.2,2025-12-03T23:21:48.264295
9300,912.18,0.61,0.48,0.13,0.23,0.10,0.06,464.9,2025-12-03T23:23:37.550051
9400,984.62,0.65,0.54,0.11,0.21,0.07,0.07,429.1,2025-12-03T23:25:18.923051
9500,914.85,0.69,0.57,0.12,0.14,0.06,0.11,441.7,2025-12-03T23:27:03.744288
9600,832.38,0.64,0.44,0.20,0.20,0.09,0.07,465.2,2025-12-03T23:30:28.851930
9700,858.12,0.57,0.46,0.11,0.18,0.08,0.17,450.5,2025-12-03T23:32:14.955254
9800,961.36,0.70,0.57,0.13,0.16,0.04,0.10,425.1,2025-12-03T23:33:56.334859
9900,917.75,0.71,0.53,0.18,0.18,0.05,0.06,452.4,2025-12-03T23:35:42.912546
10000,918.70,0.63,0.53,0.10,0.17,0.10,0.10,440.1,2025-12-03T23:37:28.038627
10100,878.26,0.70,0.55,0.15,0.12,0.05,0.13,452.4,2025-12-03T23:40:22.778622
10200,870.47,0.61,0.47,0.14,0.19,0.09,0.11,468.5,2025-12-03T23:42:14.714024
10300,874.68,0.69,0.54,0.15,0.13,0.04,0.14,456.0,2025-12-03T23:44:05.243685
10400,981.02,0.69,0.58,0.11,0.17,0.08,0.06,434.7,2025-12-03T23:45:53.201857
10500,963.40,0.66,0.57,0.09,0.15,0.08,0.11,421.1,2025-12-03T23:47:33.373195
10600,937.93,0.64,0.49,0.15,0.22,0.05,0.09,438.9,2025-12-03T23:50:58.991588
10700,846.15,0.63,0.46,0.17,0.18,0.06,0.13,459.9,2025-12-03T23:52:47.477227
10800,842.77,0.69,0.53,0.16,0.11,0.12,0.08,451.8,2025-12-03T23:54:35.490454
10900,928.63,0.66,0.53,0.13,0.18,0.09,0.07,459.4,2025-12-03T23:56:24.518048
11000,936.44,0.74,0.53,0.21,0.18,0.05,0.03,439.0,2025-12-03T23:58:09.275832
11100,857.34,0.67,0.51,0.16,0.14,0.09,0.10,474.9,2025-12-04T00:01:16.069870
11200,790.62,0.64,0.40,0.24,0.20,0.08,0.08,485.2,2025-12-04T00:03:08.998629
11300,812.64,0.61,0.45,0.16,0.17,0.13,0.09,472.9,2025-12-04T00:04:59.996245
11400,916.30,0.61,0.49,0.12,0.20,0.06,0.13,456.2,2025-12-04T00:06:48.749578
11500,763.49,0.60,0.43,0.17,0.15,0.13,0.12,491.2,2025-12-04T00:08:43.553916
11600,893.59,0.55,0.46,0.09,0.23,0.11,0.11,480.2,2025-12-04T00:12:17.368069
11700,780.37,0.68,0.47,0.21,0.13,0.11,0.08,471.5,2025-12-04T00:14:08.467838
11800,834.69,0.60,0.45,0.15,0.19,0.11,0.10,469.6,2025-12-04T00:16:00.497568
11900,823.13,0.64,0.47,0.17,0.16,0.08,0.12,480.1,2025-12-04T00:17:54.596634
12000,777.22,0.66,0.46,0.20,0.13,0.11,0.10,472.5,2025-12-04T00:19:47.129153
12100,783.28,0.70,0.48,0.22,0.11,0.11,0.08,476.7,2025-12-04T00:23:02.318933
12200,923.58,0.71,0.58,0.13,0.13,0.08,0.08,443.4,2025-12-04T00:24:47.129383
12300,815.49,0.66,0.45,0.21,0.17,0.10,0.07,467.3,2025-12-04T00:26:38.008106
12400,799.02,0.64,0.44,0.20,0.17,0.07,0.12,476.4,2025-12-04T00:28:31.060308
12500,834.31,0.57,0.43,0.14,0.19,0.10,0.14,469.8,2025-12-04T00:30:22.867706
12600,785.88,0.57,0.42,0.15,0.17,0.14,0.12,467.7,2025-12-04T00:33:31.258126
12700,888.57,0.65,0.51,0.14,0.17,0.08,0.10,460.4,2025-12-04T00:35:19.650385
12800,855.56,0.56,0.40,0.16,0.25,0.11,0.08,456.9,2025-12-04T00:37:08.472075
12900,822.55,0.61,0.45,0.16,0.17,0.13,0.09,450.0,2025-12-04T00:38:55.629367
13000,936.04,0.58,0.46,0.12,0.25,0.13,0.04,435.3,2025-12-04T00:40:40.858387
13100,801.54,0.65,0.47,0.18,0.14,0.09,0.12,467.8,2025-12-04T00:43:40.677576
13200,839.19,0.65,0.47,0.18,0.16,0.10,0.09,461.3,2025-12-04T00:45:29.172071
13300,853.10,0.53,0.43,0.10,0.23,0.09,0.15,456.5,2025-12-04T00:47:18.114233
13400,829.03,0.71,0.53,0.18,0.11,0.08,0.10,471.3,2025-12-04T00:49:09.877290
13500,846.10,0.69,0.52,0.17,0.11,0.10,0.10,464.3,2025-12-04T00:51:00.193053
13600,783.04,0.68,0.48,0.20,0.11,0.14,0.07,480.0,2025-12-04T00:54:14.506517
13700,834.15,0.62,0.45,0.17,0.19,0.05,0.14,475.8,2025-12-04T00:56:06.260940
13800,799.49,0.64,0.46,0.18,0.15,0.10,0.11,469.0,2025-12-04T00:57:55.732724
13900,726.48,0.61,0.40,0.21,0.16,0.16,0.07,482.9,2025-12-04T00:59:49.142115
14000,844.58,0.72,0.55,0.17,0.12,0.05,0.11,454.4,2025-12-04T01:01:38.901270
14100,883.62,0.60,0.45,0.15,0.22,0.06,0.12,460.3,2025-12-04T01:04:50.800587
14200,852.34,0.67,0.48,0.19,0.16,0.11,0.06,461.3,2025-12-04T01:06:38.945853
14300,822.16,0.58,0.48,0.10,0.14,0.11,0.17,471.6,2025-12-04T01:08:29.355172
14400,806.38,0.57,0.43,0.14,0.19,0.11,0.13,459.8,2025-12-04T01:10:19.921633
14500,998.85,0.65,0.53,0.12,0.23,0.04,0.08,425.6,2025-12-04T01:12:01.342259
14600,846.54,0.56,0.42,0.14,0.22,0.10,0.12,459.5,2025-12-04T01:15:32.288127
14700,845.66,0.58,0.46,0.12,0.19,0.06,0.17,471.9,2025-12-04T01:17:22.858693
14800,812.36,0.55,0.38,0.17,0.24,0.11,0.10,478.2,2025-12-04T01:19:14.084401
14900,764.26,0.64,0.46,0.18,0.12,0.13,0.11,467.5,2025-12-04T01:21:04.121514
15000,845.90,0.68,0.50,0.18,0.14,0.03,0.15,443.9,2025-12-04T01:22:49.277248
15100,697.00,0.54,0.31,0.23,0.22,0.15,0.09,478.4,2025-12-04T01:26:26.635313
15200,882.81,0.67,0.48,0.19,0.18,0.09,0.06,468.7,2025-12-04T01:28:20.170890
15300,848.16,0.62,0.46,0.16,0.19,0.06,0.13,471.7,2025-12-04T01:30:13.157865
15400,868.25,0.65,0.51,0.14,0.15,0.11,0.09,463.9,2025-12-04T01:32:03.230693
15500,799.62,0.63,0.44,0.19,0.17,0.10,0.10,481.0,2025-12-04T01:33:55.390277
15600,722.48,0.68,0.45,0.23,0.13,0.08,0.11,489.3,2025-12-04T01:37:24.232497
15700,814.84,0.55,0.43,0.12,0.18,0.13,0.14,464.3,2025-12-04T01:39:13.742059
15800,892.29,0.68,0.51,0.17,0.18,0.11,0.03,449.2,2025-12-04T01:41:00.869796
15900,774.68,0.67,0.45,0.22,0.14,0.10,0.09,464.2,2025-12-04T01:42:49.848811
16000,838.63,0.61,0.48,0.13,0.15,0.09,0.15,452.3,2025-12-04T01:44:38.811078
16100,695.00,0.61,0.38,0.23,0.14,0.11,0.14,492.0,2025-12-04T01:47:49.579512
16200,822.03,0.57,0.41,0.16,0.23,0.09,0.11,476.1,2025-12-04T01:49:42.182245
16300,792.02,0.60,0.39,0.21,0.21,0.08,0.11,461.6,2025-12-04T01:51:31.233699
16400,880.05,0.54,0.42,0.12,0.24,0.12,0.10,454.0,2025-12-04T01:53:18.851741
16500,802.94,0.68,0.47,0.21,0.15,0.08,0.09,464.6,2025-12-04T01:55:08.761113
16600,807.60,0.55,0.40,0.15,0.21,0.07,0.17,462.3,2025-12-04T01:58:34.295893
16700,642.28,0.58,0.37,0.21,0.10,0.13,0.19,500.6,2025-12-04T02:00:33.777236
16800,849.55,0.55,0.37,0.18,0.27,0.10,0.08,479.0,2025-12-04T02:02:26.272811
16900,776.95,0.53,0.38,0.15,0.21,0.12,0.14,481.5,2025-12-04T02:04:19.392381
17000,829.31,0.51,0.32,0.19,0.31,0.09,0.09,474.2,2025-12-04T02:06:10.013981
17100,714.59,0.58,0.37,0.21,0.17,0.12,0.13,488.4,2025-12-04T02:09:18.207555
17200,812.28,0.59,0.39,0.20,0.23,0.08,0.10,467.2,2025-12-04T02:11:07.689788
17300,962.89,0.62,0.50,0.12,0.21,0.07,0.10,439.8,2025-12-04T02:12:51.709373
17400,798.25,0.55,0.34,0.21,0.27,0.07,0.11,480.2,2025-12-04T02:14:43.377091
17500,707.21,0.69,0.44,0.25,0.08,0.09,0.14,494.8,2025-12-04T02:16:39.898942
17600,811.79,0.64,0.42,0.22,0.19,0.08,0.09,459.9,2025-12-04T02:19:46.397643
17700,741.64,0.49,0.34,0.15,0.22,0.14,0.15,471.9,2025-12-04T02:21:38.435504
17800,745.66,0.54,0.37,0.17,0.19,0.16,0.11,480.2,2025-12-04T02:23:29.517589
17900,638.57,0.46,0.27,0.19,0.20,0.14,0.20,486.2,2025-12-04T02:25:23.412364
18000,821.52,0.64,0.42,0.22,0.21,0.10,0.05,474.4,2025-12-04T02:27:15.204024
18100,738.86,0.61,0.42,0.19,0.14,0.07,0.18,471.3,2025-12-04T02:30:48.202567
18200,710.11,0.60,0.34,0.26,0.20,0.08,0.12,494.9,2025-12-04T02:32:45.304396
18300,653.75,0.53,0.32,0.21,0.18,0.14,0.15,504.3,2025-12-04T02:34:43.708578
18400,678.54,0.61,0.39,0.22,0.13,0.09,0.17,488.1,2025-12-04T02:36:38.731052
18500,662.89,0.55,0.34,0.21,0.16,0.16,0.13,497.4,2025-12-04T02:38:35.554409
18600,781.66,0.64,0.43,0.21,0.18,0.06,0.12,479.7,2025-12-04T02:42:10.502721
18700,828.06,0.57,0.41,0.16,0.23,0.09,0.11,476.1,2025-12-04T02:44:02.507783
18800,724.15,0.64,0.40,0.24,0.15,0.11,0.10,482.9,2025-12-04T02:45:56.460265
18900,842.31,0.53,0.36,0.17,0.27,0.12,0.08,465.3,2025-12-04T02:47:47.110411
19000,649.62,0.58,0.38,0.20,0.12,0.16,0.14,497.5,2025-12-04T02:49:44.149124
19100,763.44,0.63,0.41,0.22,0.16,0.09,0.12,480.2,2025-12-04T02:52:42.764973
19200,782.10,0.63,0.41,0.22,0.18,0.11,0.08,474.9,2025-12-04T02:54:35.649372
19300,751.24,0.57,0.35,0.22,0.21,0.11,0.11,482.7,2025-12-04T02:56:28.485385
19400,799.32,0.55,0.40,0.15,0.22,0.12,0.11,475.1,2025-12-04T02:58:21.042150
19500,869.34,0.67,0.51,0.16,0.16,0.08,0.09,461.8,2025-12-04T03:00:11.380258
19600,724.15,0.58,0.38,0.20,0.18,0.13,0.11,483.8,2025-12-04T03:03:46.443104
19700,696.95,0.56,0.35,0.21,0.17,0.13,0.14,479.0,2025-12-04T03:05:38.158678
19800,883.31,0.57,0.43,0.14,0.24,0.06,0.13,451.4,2025-12-04T03:07:26.227164
19900,716.24,0.73,0.44,0.29,0.10,0.08,0.09,476.0,2025-12-04T03:09:18.563084
